"M_range","Site","Plot","Z","Type","Essence","Diameter","Position","Contact","Sap_max","P_Bux","X","Y"
"Massif_central","M2","M2",1482,"Bois mort au sol","Résineux",17,"Perpandiculaire","Total","5","0",683830.842780263,6440884.29736846
"Massif_central","M2","M2",1480.761905,"Bois mort au sol","Résineux",57,"Autre","Absent","4","0",683829.821640269,6440885.07746807
"Massif_central","M2","M2",1482.714286,"Bois mort au sol","Résineux",26,"Perpandiculaire","Total","5","1",683825.665026212,6440890.75251056
"Massif_central","M2","M2",1468.761905,"Souche","Résineux",92,NA,NA,"5","0",683833.45246287,6440889.06629918
"Massif_central","M2","M2",1470.952381,"Bois mort au sol","Résineux",18,"Axe de pente","Total","3","0",683814.51064536,6440899.11129472
"Massif_central","M2","M2",1476.904762,"Bois mort au sol","Résineux",32,"Axe de pente","Partiel","3","0",683798.652841863,6440914.70146976
"Massif_central","M2","M2",1477.333333,"Bois mort au sol","Résineux",24,"Autre","Partiel","2","0",683801.04636137,6440896.9251104
"Massif_central","M2","M2",1472.714286,"Souche","Résineux",75,NA,NA,"4","0",683769.312616542,6440921.10863242
"Massif_central","M2","M2",1477,"Bois mort au sol","Résineux",30,"Axe de pente","Partiel","5","0",683754.067221021,6440899.93538597
"Massif_central","M2","M2",1478,"Bois mort au sol","Résineux",17,"Axe de pente","Total","4","0",683761.762573498,6440893.14041572
"Massif_central","M2","M2",1486.714286,"Bois mort au sol","Résineux",66,"Perpandiculaire","Absent","3","0",683772.061581587,6440888.78204734
"Massif_central","M2","M2",1489,"Bois mort au sol","Feuillus",27,"Axe de pente","Partiel","2","0",683782.772386658,6440891.41960655
"Massif_central","M2","M2",1494.095238,"Bois mort au sol","Résineux",20,"Axe de pente","Partiel","4","0",683808.624869408,6440875.47015305
"Massif_central","M2","M2",1488.095238,"Bois mort au sol","Résineux",17,"Axe de pente","Partiel","2","0",683814.734641446,6440864.23684899
"Massif_central","M2","M2",1484.095238,"Bois mort au sol","Résineux",12,"Autre","Partiel","4","1",683821.25762243,6440860.5547768
"Massif_central","M2","M2",1484,"Bois mort au sol","Résineux",28,"Axe de pente","Partiel","2","0",683826.182806408,6440847.76968193
"Massif_central","M2","M2",1487.238095,"Bois mort au sol","Résineux",38,"Axe de pente","Partiel","2","0",683818.924569233,6440841.12477968
"Massif_central","M2","M2",1501,"Bois mort au sol","Résineux",23,"Axe de pente","Absent","2","0",683820.138690921,6440854.00495734
"Massif_central","M2","M2",1492.761905,"Bois mort au sol","Résineux",24,"Axe de pente","Partiel","3","0",683835.596243902,6440835.75035809
"Massif_central","M2","M2",1493.142857,"Bois mort au sol","Résineux",14,"Axe de pente","Total","2","0",683841.907117523,6440841.28711024
"Massif_central","M2","M2",1500.095238,"Bois mort au sol","Résineux",11,"Axe de pente","Partiel","1","0",683845.509377252,6440834.28075984
"Massif_central","M2","M2",1479.52381,"Bois mort au sol","Résineux",22,"Axe de pente","Total","3","0",683846.452110787,6440833.6119298
"Massif_central","M2","M2",1485.952381,"Bois mort au sol","Résineux",23,"Axe de pente","Total","3","0",683861.946995302,6440829.68446024
"Massif_central","M2","M2",1489,"Bois mort au sol","Résineux",35,"Axe de pente","Total","4","0",683875.724207998,6440831.0925224
"Massif_central","M2","M2",1488.190476,"Souche","Résineux",100,NA,NA,"3","0",683879.974305328,6440831.08149696
"Massif_central","M2","M2",1471.142857,"Souche","Résineux",74,NA,NA,"4","0",683894.038125897,6440821.60465619
"Massif_central","M2","M2",1471,"Bois mort au sol","Résineux",34,"Perpandiculaire","Total","2","0",683901.424371696,6440816.92086147
"Massif_central","M2","M2",1473.333333,"Souche","Résineux",56,NA,NA,"3","0",683905.51275306,6440815.24432339
"Massif_central","M2","M2",1456.809524,"Souche","Résineux",56,NA,NA,"4","0",683913.074250602,6440817.44601131
"Massif_central","M2","M2",1447.571429,"Souche","Résineux",48,NA,NA,"3","0",683910.639837584,6440819.56251533
"Massif_central","M2","M2",1460.761905,"Bois mort au sol","Résineux",49,"Perpandiculaire","Total","4","1",683906.429611726,6440804.57987512
"Massif_central","M2","M2",1401.485016,"Souche","Résineux",55,NA,NA,"3","0",683957.503243842,6440832.43577007
"Massif_central","M2","M2",1404,"Souche","Résineux",70,NA,NA,"4","0",683965.920146539,6440830.63703665
"Massif_central","M2","M2",1399.035046,"Bois mort au sol","Résineux",10,"Axe de pente","Partiel","3","0",683962.139702504,6440829.64722195
"Massif_central","M2","M2",1389.240063,"Bois mort au sol","Résineux",10,"Axe de pente","Total","4","0",683964.821708093,6440831.97262985
"Massif_central","M2","M2",1393.790027,"Bois mort au sol","Résineux",20,"Perpandiculaire","Total","4","0",683966.471085121,6440830.63561525
"Massif_central","M2","M2",1396.175018,"Souche","Résineux",50,NA,NA,"4","0",683967.413832182,6440829.96680356
"Massif_central","M2","M2",1398.785004,"Souche","Résineux",65,NA,NA,"3","0",683965.366915555,6440829.7499579
"Massif_central","M2","M2",1392.91001,"Souche","Résineux",65,NA,NA,"3","0",683962.829710133,6440822.53739249
"Massif_central","M2","M2",1397.255017,"Bois mort au sol","Résineux",15,"Axe de pente","Total","4","0",683965.18256853,6440819.31048675
"Massif_central","M2","M2",1385.89505,"Souche","Résineux",65,NA,NA,"3","0",683963.291626697,6440818.53792301
"Massif_central","M2","M2",1396.11499,"Bois mort au sol","Résineux",20,"Axe de pente","Total","4","0",683972.752059507,6440824.62199795
"Massif_central","M2","M2",1395.16004,"Souche","Résineux",40,NA,NA,"2","0",683975.828736518,6440827.39064587
"Massif_central","M2","M2",1404.780023,"Bois mort au sol","Résineux",15,"Axe de pente","Partiel","4","0",683975.833318327,6440829.16764626
"Massif_central","M2","M2",1397.480005,"Bois mort au sol","Résineux",25,"Axe de pente","Total","3","0",683977.939183867,6440821.72097825
"Massif_central","M2","M2",1402.10498,"Souche","Résineux",70,NA,NA,"3","0",683976.923742018,6440824.72230431
"Massif_central","M2","M2",1392.285022,"Bois mort au sol","Résineux",25,"Autre","Total","4","0",683978.794352283,6440817.60943286
"Massif_central","M2","M2",1388.015015,"Bois mort au sol","Résineux",20,"Autre","Total","3","0",683981.391067092,6440817.38061276
"Massif_central","M2","M2",1389.599976,"Souche","Résineux",65,NA,NA,"4","0",683976.425164128,6440814.50576944
"Massif_central","M2","M2",1390.489996,"Bois mort au sol","Résineux",30,"Perpandiculaire","Total","4","0",683981.14521696,6440813.60509542
"Massif_central","M2","M2",1390.195068,"Souche","Résineux",60,NA,NA,"3","0",683980.89936654,6440809.82957807
"Massif_central","M2","M2",1399.800024,"Bois mort au sol","Résineux",40,"Axe de pente","Total","5","0",683948.071493858,6440837.45797062
"Massif_central","M2","M2",1401.475006,"Bois mort au sol","Résineux",45,"Axe de pente","Partiel","4","0",683947.376628024,6440842.67973865
"Massif_central","M2","M2",1404.805042,"Bois mort au sol","Résineux",30,"Autre","Partiel","4","0",683940.928815309,6440845.02872502
"Massif_central","M2","M2",1403.310046,"Souche","Résineux",70,NA,NA,"4","0",683942.890135596,6440842.58026553
"Massif_central","M2","M2",1403,"Bois mort au sol","Résineux",30,"Axe de pente","Total","5","0",683941.153164981,6440840.47455164
"Massif_central","M2","M2",1408.470038,"Bois mort au sol","Feuillus",20,"Axe de pente","Partiel","2","0",683944.306832087,6440842.57660537
"Massif_central","M2","M2",1403.099976,"Bois mort au sol","Résineux",40,"Axe de pente","Partiel","3","0",683922.066257528,6440855.40637793
"Massif_central","M2","M2",1398.800049,"Bois mort au sol","Résineux",35,"Autre","Total","3","0",683908.454571818,6440857.10755592
"Massif_central","M2","M2",1397.490021,"Bois mort au sol","Résineux",40,"Autre","Partiel","4","0",683896.691386715,6440873.5753868
